trade_id,trade_date,instrument_isin,instrument_name,instrument_country,instrument_type,venue_mic,counterparty_id,counterparty_name,counterparty_lei,side,quantity,price,notional_value,currency,reporting_status,rejection_reason,report_submitted_date
TRD00001,2024-11-23,DE000A1EWWW0,Adidas AG,DE,EQUITY,XEUR,CP006,Morgan Stanley,MAES062Z21O4RZ2U7M96,BUY,16149,119.3733,1927759.42,EUR,ACCEPTED,,2024-11-24
TRD00002,2024-10-29,US0378331005,Apple Inc,US,EQUITY,XEUR,CP001,Deutsche Bank AG,INR2EJN1ERAN0W5ZP974,BUY,14428,124.0038,1789126.83,EUR,ACCEPTED,,2024-10-30
TRD00003,2024-11-28,XS1234567890,EUR Corp Bond 2026,XS,BOND,XMIL,CP004,UBS Group AG,PBLD0EJDB5FWOLXP3B76,BUY,29539,298.7402,8824486.77,EUR,ACCEPTED,,2024-11-29
TRD00004,2024-12-23,US0378331005,Apple Inc,US,EQUITY,XPAR,CP003,Societe Generale,MAES062Z21O4RZ2U7M96,SELL,14210,479.0344,6807078.82,EUR,ACCEPTED,,2024-12-24
TRD00005,2024-02-17,US0378331005,Apple Inc,US,EQUITY,XEUR,CP003,Societe Generale,9ZHRYM6F437SQJ6OUG95,BUY,39665,139.6152,5537836.91,EUR,ACCEPTED,,2024-02-18
TRD00006,2024-10-01,DE000A1EWWW0,Adidas AG,DE,EQUITY,XAMS,CP001,Deutsche Bank AG,BADLEI00000000000000000,SELL,19313,416.4083,8042093.5,EUR,REJECTED,INVALID_LEI,2024-10-02
TRD00007,2024-01-24,XS1234567890,EUR Corp Bond 2026,XS,BOND,XLON,CP007,JPMorgan Chase,UWJKLYCTVC18SQVJHL39,BUY,5329,429.1057,2286704.28,EUR,ACCEPTED,,2024-01-25
TRD00008,2024-05-22,US0378331005,Apple Inc,US,EQUITY,XPAR,CP002,Barclays PLC,MAES062Z21O4RZ2U7M96,SELL,23383,112.6584,2634291.37,EUR,ACCEPTED,,2024-05-23
TRD00009,2024-11-07,XS1234567890,EUR Corp Bond 2026,XS,BOND,XLON,CP005,Credit Suisse,529900T8BM49AURSDO55,SELL,16143,90.0672,1453954.81,EUR,PENDING,,2024-11-08
TRD00010,2024-11-23,XS1234567890,EUR Corp Bond 2026,XS,BOND,XMIL,CP002,Barclays PLC,INR2EJN1ERAN0W5ZP974,BUY,21352,422.9974,9031840.48,EUR,PENDING,,2024-11-24
TRD00011,2024-01-17,XS9876543210,USD Corp Bond 2028,XS,BOND,XPAR,CP004,UBS Group AG,INR2EJN1ERAN0W5ZP974,SELL,4437,113.3816,503074.16,EUR,ACCEPTED,,2024-01-18
TRD00012,2024-12-01,US0378331005,Apple Inc,US,EQUITY,XAMS,CP006,Morgan Stanley,529900T8BM49AURSDO55,BUY,9463,139.7913,1322845.07,EUR,ACCEPTED,,2024-12-02
TRD00013,2024-10-26,US0378331005,Apple Inc,US,EQUITY,XMIL,CP004,UBS Group AG,9ZHRYM6F437SQJ6OUG95,BUY,14473,498.6896,7217534.58,EUR,ACCEPTED,,2024-10-27
TRD00014,2024-02-16,XS9876543210,USD Corp Bond 2028,XS,BOND,XEUR,CP007,JPMorgan Chase,MAES062Z21O4RZ2U7M96,SELL,10116,317.4486,3211310.04,EUR,ACCEPTED,,2024-02-17
TRD00015,2024-07-16,US0378331005,Apple Inc,US,EQUITY,XMIL,CP004,UBS Group AG,INVALID123,BUY,16576,485.8284,8053091.56,EUR,REJECTED,MISSING_VENUE_CODE,2024-07-17
TRD00016,2024-05-16,XS9876543210,USD Corp Bond 2028,XS,BOND,XPAR,CP001,Deutsche Bank AG,529900T8BM49AURSDO55,BUY,28592,87.4973,2501722.8,EUR,ACCEPTED,,2024-05-17
TRD00017,2024-09-13,XS9876543210,USD Corp Bond 2028,XS,BOND,XLON,CP005,Credit Suisse,PBLD0EJDB5FWOLXP3B76,BUY,41079,156.2379,6418096.69,EUR,ACCEPTED,,2024-09-14
TRD00018,2024-07-10,XS9876543210,USD Corp Bond 2028,XS,BOND,XLON,CP005,Credit Suisse,INVALID123,SELL,137,303.4828,41577.14,EUR,REJECTED,INVALID_LEI,2024-07-11
TRD00019,2024-07-04,XS9876543210,USD Corp Bond 2028,XS,BOND,XPAR,CP002,Barclays PLC,MAES062Z21O4RZ2U7M96,BUY,15885,440.2247,6992969.36,EUR,ACCEPTED,,2024-07-05
TRD00020,2024-09-05,XS9876543210,USD Corp Bond 2028,XS,BOND,XEUR,CP007,JPMorgan Chase,BADLEI00000000000000000,SELL,8341,72.9118,608157.32,EUR,REJECTED,PRICE_OUT_OF_RANGE,2024-09-06
TRD00021,2024-09-27,XS9876543210,USD Corp Bond 2028,XS,BOND,XMIL,CP004,UBS Group AG,529900T8BM49AURSDO55,BUY,35443,380.0799,13471171.9,EUR,ACCEPTED,,2024-09-28
TRD00022,2024-07-23,XS1234567890,EUR Corp Bond 2026,XS,BOND,XPAR,CP004,UBS Group AG,INVALID123,BUY,29688,69.2921,2057143.86,EUR,REJECTED,PRICE_OUT_OF_RANGE,2024-07-24
TRD00023,2024-01-11,DE0007164600,SAP SE,DE,EQUITY,XMIL,CP002,Barclays PLC,BADLEI00000000000000000,BUY,14532,13.5235,196523.5,EUR,REJECTED,INVALID_LEI,2024-01-12
TRD00024,2024-01-17,XS9876543210,USD Corp Bond 2028,XS,BOND,XPAR,CP001,Deutsche Bank AG,BADLEI00000000000000000,SELL,15697,146.4539,2298886.87,EUR,REJECTED,MISSING_VENUE_CODE,2024-01-18
TRD00025,2024-03-08,XS1234567890,EUR Corp Bond 2026,XS,BOND,XMIL,CP005,Credit Suisse,INR2EJN1ERAN0W5ZP974,SELL,16025,394.4635,6321277.59,EUR,ACCEPTED,,2024-03-09
TRD00026,2024-02-18,DE000A1EWWW0,Adidas AG,DE,EQUITY,XAMS,CP003,Societe Generale,MAES062Z21O4RZ2U7M96,BUY,27041,238.8421,6458529.23,EUR,ACCEPTED,,2024-02-19
TRD00027,2024-02-01,US0378331005,Apple Inc,US,EQUITY,XPAR,CP007,JPMorgan Chase,PBLD0EJDB5FWOLXP3B76,SELL,16395,103.8791,1703097.84,EUR,ACCEPTED,,2024-02-02
